Ativo,Volatilidade,Dividend_Yield_Medio,Categoria_DY
VALE3.SA,0.37559184325270495,0.0943,Alto DY
PETR4.SA,0.44855708617484025,0.2041,Alto DY
ITUB4.SA,0.32047092519118797,0.0352,Baixo DY
BBDC4.SA,0.37274579339662,0.048799999999999996,Baixo DY
BBAS3.SA,0.36872908648308417,0.051399999999999994,Baixo DY
ABEV3.SA,0.3001214414152684,0.042199999999999994,Baixo DY
WEGE3.SA,0.37981693896431984,0.008100000000000001,Baixo DY
B3SA3.SA,0.41342840619273724,0.0304,Baixo DY
MGLU3.SA,0.7028904545649709,0.0025,Baixo DY
SUZB3.SA,0.3636528174339029,0.0,0 DY
LREN3.SA,0.48088366184128034,0.0288,Baixo DY
RADL3.SA,0.31052420328361313,0.0088,Baixo DY
RENT3.SA,0.4755549471865465,0.0206,Baixo DY
VIVT3.SA,0.27149673675692515,0.054000000000000006,Baixo DY
EGIE3.SA,0.23078277523211824,0.0518,Baixo DY
TAEE11.SA,0.19176159403723372,0.0882,Alto DY
CPLE6.SA,0.3426260230742779,0.062,Alto DY
EQTL3.SA,0.30885035376300707,0.0182,Baixo DY
HAPV3.SA,0.5898067752647381,0.0,0 DY
GGBR4.SA,0.4208526407640559,0.0722,Alto DY
KLBN11.SA,0.3085043691368931,0.0311,Baixo DY
PRIO3.SA,0.6231910453935986,0.0,0 DY
CSNA3.SA,0.5441585052074503,0.09570000000000001,Alto DY
ELET3.SA,0.44371546090607855,0.0304,Baixo DY
ELET6.SA,0.3924996557523992,0.051100000000000007,Baixo DY
SBSP3.SA,0.38113286547216685,0.019299999999999998,Baixo DY
BBSE3.SA,0.2650301068993475,0.0788,Alto DY
CXSE3.SA,0.29284992659164677,0.0,0 DY
BRFS3.SA,0.5226017099297126,0.0,0 DY
CVCB3.SA,0.7952135157821075,0.0171,Baixo DY
EMBR3.SA,0.5304157538089054,0.0087,Baixo DY
AZUL4.SA,0.7989678750473258,0.0,0 DY
GOLL4.SA,0.7825179271106704,0.0,0 DY
BRKM5.SA,0.594444281639349,0.0,0 DY
IGTI11.SA,0.33035373360805975,0.0,0 DY
MULT3.SA,0.4135481254701065,0.0298,Baixo DY
FLRY3.SA,0.34267150073231906,0.04190000000000001,Baixo DY
PCAR3.SA,0.7969921029989769,0.0,0 DY
MRVE3.SA,0.5357375051589165,0.032,Baixo DY
CYRE3.SA,0.5200779858672068,0.054000000000000006,Baixo DY
USIM5.SA,0.5125641646338591,0.054900000000000004,Baixo DY
PETZ3.SA,0.588222544261984,0.0,0 DY
CASH3.SA,0.7269264983707483,0.0,0 DY
YDUQ3.SA,0.6096006481588727,0.0241,Baixo DY
ALPA4.SA,0.5209669077753484,0.025,Baixo DY
LWSA3.SA,0.6769166705805353,0.0,0 DY
